UserID,Username,GlobalRank,PP,Location,RegistrationDate
7562902,mrekk,1,27057.9,Australia,2015-12-13 03:35:49+00:00
4787150,Vaxei,46,18588.6,United States,2014-08-13 04:57:05+00:00
7341183,ASecretBox,18,20095.5,Australia,2015-10-30 23:25:57+00:00
13380270,Kama,263,15047.5,United States,2018-11-07 04:22:32+00:00
19998548,suntanCTM,415,14200.3,Chile,2020-12-23 20:26:56+00:00
5423872,ruirui,199,15603.9,Germany,2014-12-26 13:11:57+00:00
2291265,[MG]Arnold24x24,38,18793.7,Peru,2013-01-23 05:30:02+00:00
10069909,DEETO,663,13344.3,Indonesia,2017-04-18 12:43:51+00:00
10549880,ninerik,6,22005.4,Norway,2017-07-23 18:40:45+00:00
4581069,etn,89,17057.2,Romania,2014-06-27 03:21:17+00:00
8660293,willy0214,220,15418.1,Taiwan,2016-07-05 09:02:57+00:00
18092331,Lesperry,370,14390.0,Thailand,2020-08-14 03:38:03+00:00
2012453,PikaPwn,146,16207.6,Canada,2012-10-21 02:05:46+00:00
10325072,Fiaee,1801,11508.5,France,2017-06-08 15:18:16+00:00
7959945,Xxx_C4L3B_xxX,536,13729.4,United States,2016-02-19 03:14:38+00:00
13767572,Saiyku,43,18671.7,New Zealand,2019-01-15 08:02:09+00:00
8359561,Jeong Woo Yeong,157,16098.8,South Korea,2016-05-05 10:04:24+00:00
3543130,Michni,1332,12069.2,Poland,2013-11-04 15:30:35+00:00
14282987,szedis,1081,12460.7,Poland,2019-04-15 17:11:16+00:00
11380904,cat burger,1236,12224.9,Denmark,2017-12-21 11:29:20+00:00
4830687,BoshyMan741,326,14655.6,United States,2014-08-23 03:59:52+00:00
13108233,tomasz chic,27,19557.3,Poland,2018-09-17 13:34:51+00:00
4256461,Riot,132,16359.5,Mexico,2014-04-13 04:03:29+00:00
14447878,Lujeol,1158,12343.7,South Korea,2019-05-11 13:34:24+00:00
14806365,chests,3805,10186.8,Thailand,2019-07-11 15:32:41+00:00
1355695,z980838928,2482,10908.4,China,2012-01-26 13:10:27+00:00
11308471,Asriel,7401,9035.14,Poland,2017-12-09 15:12:21+00:00
14215850,Bunnylikemoney,53,18155.7,United States,2019-04-04 23:04:11+00:00
12959983,antonyw,4997,9717.57,Norway,2018-08-24 20:39:02+00:00
17272840,Nutricula,13122,8095.86,Poland,2020-06-03 18:14:50+00:00
10759664,xtremeities,4680,9828.19,Australia,2017-08-30 11:19:40+00:00
10507706,young leosia,363,14442.4,Poland,2017-07-15 12:11:57+00:00
16139008,sharytory,416,14199.8,Ukraine,2020-02-06 20:07:51+00:00
18946207,Nekore,177,15836.0,Chile,2020-10-19 03:04:54+00:00
12378737,Iugia,242,15251.3,United States,2018-06-01 04:43:31+00:00
5370153,Exarch,244,15236.3,United States,2014-12-16 04:36:52+00:00
13962152,MINIONPEPSI2013,37,18837.2,Spain,2019-02-18 17:01:43+00:00
6671641,Ophiz,1486,11837.0,Ireland,2015-06-26 19:55:14+00:00
6145000,Kehest,3162,10487.1,Romania,2015-03-12 16:40:48+00:00
